rank_2018,visa_free_score_2018,rank_2017,visa_free_score_2017,rank_2016,visa_free_score_2016,rank_2015,visa_free_score_2015,Country_name
63,72,63,67,60,64,62,65,Kenya
37,117,41,109,40,103,55,73,Kiribati
86,48,84,41,85,39,84,41,Kosovo
46,96,50,88,50,81,50,81,Kuwait
67,68,69,58,66,58,67,59,Kyrgyzstan
79,56,78,48,79,45,79,46,Laos
6,160,10,152,10,147,11,148,Latvia
89,45,86,38,86,38,85,40,Lebanon
59,77,60,70,58,66,59,68,Lesotho
82,53,80,46,80,44,79,46,Liberia
88,46,85,39,87,37,88,37,Libya
9,156,12,150,11,146,13,146,Liechtenstein
6,160,10,152,10,147,12,147,Lithuania
2,164,4,158,5,153,4,155,Luxembourg
29,128,32,121,32,115,35,113,Macao
36,118,41,109,38,106,39,107,Macedonia
75,60,74,52,75,49,76,49,Madagascar
62,74,62,68,59,65,60,67,Malawi
6,160,8,154,5,153,8,151,Malaysia
54,82,56,75,54,72,54,74,Maldives
76,59,73,53,73,51,73,53,Mali
5,161,7,155,9,148,8,151,Malta
39,115,44,106,41,102,60,67,Marshall Islands
75,60,72,54,72,52,72,54,Mauritania
25,132,29,124,30,118,32,118,Mauritius
18,142,22,133,23,128,25,127,Mexico
44,110,46,103,44,98,63,64,Micronesia
42,112,45,105,39,104,40,104,Moldova
10,155,15,146,13,142,14,144,Monaco
68,67,70,57,67,57,66,60,Mongolia
37,117,44,106,42,101,41,102,Montenegro
67,68,69,58,69,55,68,58,Morocco
76,59,72,54,76,48,76,49,Mozambique
84,51,84,41,85,39,83,42,Myanmar [Burma]
64,71,63,67,60,64,62,65,Namibia
57,79,58,72,55,70,56,72,Nauru
87,47,87,37,87,37,85,40,Nepal
2,164,4,158,4,154,3,156,Netherlands
5,161,7,155,6,152,6,153,New Zealand
39,115,44,106,42,101,42,101,Nicaragua
76,59,74,52,75,49,74,52,Niger
86,48,82,44,83,41,83,42,Nigeria
87,47,85,39,85,39,85,40,North Korea
2,164,4,158,3,155,4,155,Norway
55,81,57,73,56,69,57,70,Oman
95,35,92,28,94,26,94,27,Pakistan
43,111,47,101,43,99,62,65,Palau
89,45,85,39,87,37,88,37,Palestinian Territories
28,129,35,117,32,115,33,117,Panama
58,78,60,70,57,67,58,69,Papua New Guinea
28,129,34,119,31,116,34,116,Paraguay
21,136,29,124,31,118,47,85,Peru
67,68,66,62,64,60,64,62,Philippines
6,160,10,152,9,148,9,150,Poland
3,163,4,158,5,153,4,155,Portugal
50,88,54,78,51,77,53,75,Qatar
8,157,14,147,15,140,15,143,Romania
38,116,42,108,40,103,40,104,Russian Federation
76,59,73,53,76,48,79,46,Rwanda
24,133,27,126,26,123,26,124,Saint Kitts and Nevis
29,128,31,122,30,118,31,119,Saint Lucia
34,122,37,115,35,110,37,111,Samoa
14,146,17,141,18,137,19,139,San Marino
70,65,70,57,71,53,73,53,Sao Tome and Principe
57,79,59,71,58,66,59,68,Saudi Arabia
73,62,71,55,71,53,70,56,Senegal
30,126,38,114,35,110,36,112,Serbia
21,136,25,130,25,125,27,123,Seychelles
71,64,68,59,68,56,69,57,Sierra Leone
1,165,2,160,2,156,4,155,Singapore
6,160,10,152,10,147,10,149,Slovakia
6,160,10,152,10,147,10,149,Slovenia
33,123,37,115,36,109,52,76,Solomon Islands
93,38,90,34,91,30,92,31,Somalia
45,98,49,94,46,90,45,91,South Africa
2,164,3,159,6,152,3,156,South Korea
87,47,85,39,90,34,89,36,South Sudan
2,164,3,159,3,155,2,157,Spain
88,46,87,37,89,35,86,39,Sri Lanka
22,135,27,126,29,119,29,121,St. Vincent and the Grenadines
91,42,87,37,88,36,89,36,Sudan
59,77,61,69,55,70,57,70,Suriname
2,164,2,160,2,156,1,158,Sweden
3,163,5,157,3,155,2,157,Switzerland
94,36,91,31,92,29,91,32,Syria
27,130,32,121,29,119,30,120,Taiwan
73,62,72,54,70,54,70,56,Tajikistan
64,71,64,65,62,62,64,62,Tanzania
57,79,57,73,55,70,56,72,Thailand
47,95,51,86,48,84,48,84,Timor-Leste
76,59,74,52,74,50,73,53,Togo
37,117,40,110,37,107,38,108,Tonga
22,135,29,124,28,121,27,123,Trinidad and Tobago
65,70,65,63,64,60,65,61,Tunisia
40,114,43,107,39,104,41,102,Turkey
78,57,77,49,75,49,74,52,Turkmenistan
35,121,38,114,37,107,54,74,Tuvalu
66,69,67,61,67,57,68,58,Uganda
26,131,32,121,47,87,46,86,Ukraine
3,163,24,131,27,122,28,122,United Arab Emirates
3,163,3,159,3,155,2,157,United Kingdom
2,164,4,158,3,155,4,155,United States of America
20,140,26,129,24,127,24,129,Uruguay
72,63,72,54,70,54,71,55,Uzbekistan
33,123,35,117,33,112,36,112,Vanuatu
19,141,23,132,22,129,24,129,Vatican City
28,129,33,120,28,121,28,122,Venezuela
78,57,78,48,76,48,75,51,Viet Nam
92,40,87,37,84,40,84,41,Yemen
66,69,66,62,65,59,65,61,Zambia
67,68,66,62,66,58,67,59,Zimbabwe
